Scratch-Off Prizes as of 03/14/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1355,"Weekly Grand","",2,"300","10749","5507"
1355,"Weekly Grand","",2,"$1,000/wk**","4","2"
1355,"Weekly Grand","",2,TOTAL,"8681966","4178264"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"10","863286","799519"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"20","863281","811440"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"50","92440","87627"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"100","25665","24165"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"200","9235","8706"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"500","4435","4240"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"1000","419","392"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"5000","105","101"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"10000","16","14"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"1000000","6","5"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,TOTAL,"1858888","1736209"
1358,"Mega Money","",5,"5","768979","544449"
1358,"Mega Money","",5,"10","1009271","730571"
1358,"Mega Money","",5,"20","192202","139600"
1358,"Mega Money","",5,"50","73895","53996"
1358,"Mega Money","",5,"100","12008","8786"
1358,"Mega Money","",5,"500","850","615"
1358,"Mega Money","",5,"1000","161","126"
1358,"Mega Money","",5,"175000","7","4"
1358,"Mega Money","",5,TOTAL,"2057373","1478147"
1359,"$250,000 Bingo","",10,"10","924039","582565"
1359,"$250,000 Bingo","",10,"20","251904","159446"
1359,"$250,000 Bingo","",10,"30","17467","11162"
1359,"$250,000 Bingo","",10,"50","91081","57571"
1359,"$250,000 Bingo","",10,"75","10534","6612"
1359,"$250,000 Bingo","",10,"100","17543","11079"
1359,"$250,000 Bingo","",10,"125","7003","4461"
1359,"$250,000 Bingo","",10,"175","7045","4519"
1359,"$250,000 Bingo","",10,"250","5773","3600"
1359,"$250,000 Bingo","",10,"500","4233","2685"
1359,"$250,000 Bingo","",10,"750","270","154"
1359,"$250,000 Bingo","",10,"1000","24","17"
1359,"$250,000 Bingo","",10,"2500","7","4"
1359,"$250,000 Bingo","",10,"10000","6","3"
1359,"$250,000 Bingo","",10,"250000","6","3"
1359,"$250,000 Bingo","",10,TOTAL,"1336935","843881"
1360,"Triple Tripler","",3,"3","392465","344918"
1360,"Triple Tripler","",3,"6","539952","485683"
1360,"Triple Tripler","",3,"9","110536","100136"
1360,"Triple Tripler","",3,"15","36751","33544"
1360,"Triple Tripler","",3,"18","61434","56229"
1360,"Triple Tripler","",3,"24","49053","44653"
1360,"Triple Tripler","",3,"30","49085","44839"
1360,"Triple Tripler","",3,"60","18650","17162"
1360,"Triple Tripler","",3,"90","6634","6066"
1360,"Triple Tripler","",3,"300","1437","1294"
1360,"Triple Tripler","",3,"3000","23","18"
1360,"Triple Tripler","",3,"33333","7","6"
1360,"Triple Tripler","",3,TOTAL,"1266027","1134548"
1361,"Triple 7's","",5,"5","535129","332355"
1361,"Triple 7's","",5,"10","658348","413578"
1361,"Triple 7's","",5,"20","288143","182083"
1361,"Triple 7's","",5,"50","41683","26659"
1361,"Triple 7's","",5,"100","14163","8902"
1361,"Triple 7's","",5,"200","3323","2088"
1361,"Triple 7's","",5,"500","2179","1365"
1361,"Triple 7's","",5,"1000","314","193"
1361,"Triple 7's","",5,"5000","20","14"
1361,"Triple 7's","",5,"50000","6","5"
1361,"Triple 7's","",5,TOTAL,"1543308","967242"
1362,"Sweet Cash","",1,"1","1212071","473874"
1362,"Sweet Cash","",1,"2","984734","401117"
1362,"Sweet Cash","",1,"4","284048","119747"
1362,"Sweet Cash","",1,"5","75831","32359"
1362,"Sweet Cash","",1,"10","75733","33049"
1362,"Sweet Cash","",1,"20","28398","12485"
1362,"Sweet Cash","",1,"40","15362","6883"
1362,"Sweet Cash","",1,"100","958","404"
1362,"Sweet Cash","",1,"1000","96","40"
1362,"Sweet Cash","",1,TOTAL,"2677231","1079958"
1363,"Dallas Cowboys","",5,"5","1301177","820710"
1363,"Dallas Cowboys","",5,"10","1138459","731456"
1363,"Dallas Cowboys","",5,"20","130114","84215"
1363,"Dallas Cowboys","",5,"50","65061","42347"
1363,"Dallas Cowboys","",5,"100","26911","17480"
1363,"Dallas Cowboys","",5,"1000","375","247"
1363,"Dallas Cowboys","",5,"5000","83","58"
1363,"Dallas Cowboys","",5,"100000","26","15"
1363,"Dallas Cowboys","",5,TOTAL,"2662206","1696528"
1364,"Houston Texans","",5,"5","757459","541375"
1364,"Houston Texans","",5,"10","606091","440584"
1364,"Houston Texans","",5,"20","132519","96880"
1364,"Houston Texans","",5,"50","38170","28065"
1364,"Houston Texans","",5,"100","16856","12479"
1364,"Houston Texans","",5,"1000","315","223"
1364,"Houston Texans","",5,"5000","21","14"
1364,"Houston Texans","",5,"100000","14","11"
1364,"Houston Texans","",5,TOTAL,"1551445","1119631"
1365,"Haunted Halloween","04/04/2012",2,"2","495473","410203"
1365,"Haunted Halloween","04/04/2012",2,"4","495753","421788"
1365,"Haunted Halloween","04/04/2012",2,"5","123964","105053"
1365,"Haunted Halloween","04/04/2012",2,"10","61944","54019"
1365,"Haunted Halloween","04/04/2012",2,"20","41263","36094"
1365,"Haunted Halloween","04/04/2012",2,"50","22818","20132"
1365,"Haunted Halloween","04/04/2012",2,"100","2134","1853"
1365,"Haunted Halloween","04/04/2012",2,"1000","72","60"
1365,"Haunted Halloween","04/04/2012",2,"20000","12","10"
1365,"Haunted Halloween","04/04/2012",2,TOTAL,"1243433","1049212"
1366,"Quick 6's","05/02/2012",1,"1","1136308","992138"
